date;class;focuses;uf
2024/01;Fogo em áreas de desmatamento recente;14;MARANHÃO
2024/01;Fogo em áreas de desmatamento recente;129;MATO GROSSO
2024/01;Fogo em áreas de desmatamento recente;220;PARÁ
2024/01;Fogo em áreas de desmatamento recente;13;RONDÔNIA
2024/01;Fogo em áreas de desmatamento recente;198;RORAIMA
2024/01;Fogo em áreas de desmatamento recente;1;TOCANTINS
2024/01;Fogo em outras áreas;2;PARÁ
2024/01;Fogo em áreas de vegetação nativa;1;ACRE
2024/01;Fogo em áreas de vegetação nativa;1;AMAPÁ
2024/01;Fogo em áreas de vegetação nativa;45;AMAZONAS
2024/01;Fogo em áreas de vegetação nativa;7;MARANHÃO
2024/01;Fogo em áreas de vegetação nativa;13;MATO GROSSO
2024/01;Fogo em áreas de vegetação nativa;21;PARÁ
2024/01;Fogo em áreas de vegetação nativa;1;RONDÔNIA
2024/01;Fogo em áreas de vegetação nativa;266;RORAIMA
2024/02;Fogo em áreas de desmatamento consolidado;1;AMAPÁ
2024/02;Fogo em áreas de desmatamento consolidado;63;AMAZONAS
2024/02;Fogo em áreas de desmatamento consolidado;9;MARANHÃO
2024/02;Fogo em áreas de desmatamento consolidado;578;MATO GROSSO
2024/02;Fogo em áreas de desmatamento consolidado;139;PARÁ
2024/02;Fogo em áreas de desmatamento consolidado;33;RONDÔNIA
2024/02;Fogo em áreas de desmatamento consolidado;571;RORAIMA
2024/02;Fogo em áreas de desmatamento recente;5;ACRE
2024/02;Fogo em áreas de desmatamento recente;48;AMAZONAS
2024/02;Fogo em áreas de desmatamento recente;7;MARANHÃO
2024/02;Fogo em áreas de desmatamento recente;74;MATO GROSSO
2024/02;Fogo em áreas de desmatamento recente;98;PARÁ
2024/02;Fogo em áreas de desmatamento recente;8;RONDÔNIA
2024/02;Fogo em áreas de desmatamento recente;707;RORAIMA
2024/02;Fogo em outras áreas;2;AMAZONAS
2024/02;Fogo em outras áreas;3;RORAIMA
2024/02;Fogo em áreas de vegetação nativa;2;ACRE
2024/02;Fogo em áreas de vegetação nativa;27;AMAZONAS
2024/02;Fogo em áreas de vegetação nativa;6;MATO GROSSO
2024/02;Fogo em áreas de vegetação nativa;19;PARÁ
2024/02;Fogo em áreas de vegetação nativa;3;RONDÔNIA
2024/02;Fogo em áreas de vegetação nativa;775;RORAIMA
2024/03;Fogo em áreas de desmatamento consolidado;5;ACRE
2024/03;Fogo em áreas de desmatamento consolidado;14;AMAZONAS
2024/03;Fogo em áreas de desmatamento consolidado;8;MARANHÃO
2024/03;Fogo em áreas de desmatamento consolidado;1006;MATO GROSSO
2024/03;Fogo em áreas de desmatamento consolidado;69;PARÁ
2024/03;Fogo em áreas de desmatamento consolidado;65;RONDÔNIA
2024/03;Fogo em áreas de desmatamento consolidado;366;RORAIMA
2024/03;Fogo em áreas de desmatamento consolidado;5;TOCANTINS
2024/03;Fogo em áreas de desmatamento recente;2;ACRE
2024/03;Fogo em áreas de desmatamento recente;15;AMAZONAS
2024/03;Fogo em áreas de desmatamento recente;99;MATO GROSSO
2024/03;Fogo em áreas de desmatamento recente;29;PARÁ
2024/03;Fogo em áreas de desmatamento recente;12;RONDÔNIA
2024/03;Fogo em áreas de desmatamento recente;410;RORAIMA
2024/03;Fogo em áreas de desmatamento recente;1;TOCANTINS
2024/03;Fogo em outras áreas;1;RORAIMA
2024/03;Fogo em áreas de vegetação nativa;6;AMAZONAS
2024/03;Fogo em áreas de vegetação nativa;9;MATO GROSSO
2024/03;Fogo em áreas de vegetação nativa;2;PARÁ
2024/03;Fogo em áreas de vegetação nativa;1;RONDÔNIA
2024/03;Fogo em áreas de vegetação nativa;652;RORAIMA
2024/04;Fogo em áreas de desmatamento consolidado;3;ACRE
2024/04;Fogo em áreas de desmatamento consolidado;2;AMAPÁ
2024/04;Fogo em áreas de desmatamento consolidado;23;AMAZONAS
2024/04;Fogo em áreas de desmatamento consolidado;6;MARANHÃO
2024/04;Fogo em áreas de desmatamento consolidado;380;MATO GROSSO
2024/04;Fogo em áreas de desmatamento consolidado;37;PARÁ
2024/04;Fogo em áreas de desmatamento consolidado;42;RONDÔNIA
2024/04;Fogo em áreas de desmatamento consolidado;169;RORAIMA
2024/04;Fogo em áreas de desmatamento recente;8;AMAZONAS
2024/04;Fogo em áreas de desmatamento recente;1;MARANHÃO
2024/04;Fogo em áreas de desmatamento recente;106;MATO GROSSO
2024/04;Fogo em áreas de desmatamento recente;7;PARÁ
2024/04;Fogo em áreas de desmatamento recente;7;RONDÔNIA
2024/04;Fogo em áreas de desmatamento recente;218;RORAIMA
2024/04;Fogo em áreas de vegetação nativa;1;AMAZONAS
2024/04;Fogo em áreas de vegetação nativa;10;MATO GROSSO
2024/04;Fogo em áreas de vegetação nativa;3;PARÁ
2024/04;Fogo em áreas de vegetação nativa;132;RORAIMA
2024/05;Fogo em áreas de desmatamento consolidado;5;ACRE
2024/05;Fogo em áreas de desmatamento consolidado;1;AMAPÁ
2024/05;Fogo em áreas de desmatamento consolidado;15;AMAZONAS
2024/05;Fogo em áreas de desmatamento consolidado;3;MARANHÃO
2024/05;Fogo em áreas de desmatamento consolidado;542;MATO GROSSO
2024/05;Fogo em áreas de desmatamento consolidado;155;PARÁ
2024/05;Fogo em áreas de desmatamento consolidado;43;RONDÔNIA
2024/05;Fogo em áreas de desmatamento consolidado;10;RORAIMA
2024/05;Fogo em áreas de desmatamento consolidado;6;TOCANTINS
2024/05;Fogo em áreas de desmatamento recente;4;ACRE
2024/05;Fogo em áreas de desmatamento recente;8;AMAZONAS
2024/05;Fogo em áreas de desmatamento recente;670;MATO GROSSO
2024/05;Fogo em áreas de desmatamento recente;28;PARÁ
2024/05;Fogo em áreas de desmatamento recente;17;RONDÔNIA
2024/05;Fogo em áreas de desmatamento recente;2;RORAIMA
2024/05;Fogo em áreas de vegetação nativa;2;ACRE
2024/05;Fogo em áreas de vegetação nativa;17;AMAZONAS
2024/05;Fogo em áreas de vegetação nativa;127;MATO GROSSO
2024/05;Fogo em áreas de vegetação nativa;5;PARÁ
2024/05;Fogo em áreas de vegetação nativa;1;RONDÔNIA
2024/05;Fogo em áreas de vegetação nativa;2;RORAIMA
2024/05;Fogo em áreas de vegetação nativa;1;TOCANTINS
2024/06;Fogo em áreas de desmatamento consolidado;29;ACRE
2024/06;Fogo em áreas de desmatamento consolidado;46;AMAZONAS
2024/06;Fogo em áreas de desmatamento consolidado;25;MARANHÃO
2024/06;Fogo em áreas de desmatamento consolidado;399;MATO GROSSO
2024/06;Fogo em áreas de desmatamento consolidado;382;PARÁ
2024/06;Fogo em áreas de desmatamento consolidado;73;RONDÔNIA
2024/06;Fogo em áreas de desmatamento consolidado;3;RORAIMA
2024/06;Fogo em áreas de desmatamento consolidado;16;TOCANTINS
2024/06;Fogo em áreas de desmatamento recente;66;ACRE
2024/06;Fogo em áreas de desmatamento recente;152;AMAZONAS
2024/06;Fogo em áreas de desmatamento recente;10;MARANHÃO
2024/06;Fogo em áreas de desmatamento recente;1051;MATO GROSSO
2024/06;Fogo em áreas de desmatamento recente;196;PARÁ
2024/06;Fogo em áreas de desmatamento recente;83;RONDÔNIA
2024/06;Fogo em áreas de desmatamento recente;1;RORAIMA
2024/06;Fogo em áreas de vegetação nativa;6;ACRE
2024/06;Fogo em áreas de vegetação nativa;1;AMAPÁ
2024/06;Fogo em áreas de vegetação nativa;60;AMAZONAS
2024/06;Fogo em áreas de vegetação nativa;1;MARANHÃO
2024/06;Fogo em áreas de vegetação nativa;168;MATO GROSSO
2024/06;Fogo em áreas de vegetação nativa;20;PARÁ
2024/06;Fogo em áreas de vegetação nativa;24;RONDÔNIA
2024/07;Fogo em áreas de desmatamento consolidado;162;ACRE
2024/07;Fogo em áreas de desmatamento consolidado;709;AMAZONAS
2024/07;Fogo em áreas de desmatamento consolidado;146;MARANHÃO
2024/07;Fogo em áreas de desmatamento consolidado;325;MATO GROSSO
2024/07;Fogo em áreas de desmatamento consolidado;1406;PARÁ
2024/07;Fogo em áreas de desmatamento consolidado;351;RONDÔNIA
2024/07;Fogo em áreas de desmatamento consolidado;2;RORAIMA
2024/07;Fogo em áreas de desmatamento consolidado;47;TOCANTINS
2024/07;Fogo em áreas de desmatamento recente;390;ACRE
2024/07;Fogo em áreas de desmatamento recente;3156;AMAZONAS
2024/07;Fogo em áreas de desmatamento recente;33;MARANHÃO
2024/07;Fogo em áreas de desmatamento recente;911;MATO GROSSO
2024/07;Fogo em áreas de desmatamento recente;1475;PARÁ
2024/07;Fogo em áreas de desmatamento recente;1073;RONDÔNIA
2024/07;Fogo em áreas de desmatamento recente;3;TOCANTINS
2024/07;Fogo em outras áreas;4;AMAZONAS
2024/07;Fogo em outras áreas;1;RONDÔNIA
2024/07;Fogo em áreas de vegetação nativa;51;ACRE
2024/07;Fogo em áreas de vegetação nativa;371;AMAZONAS
2024/07;Fogo em áreas de vegetação nativa;4;MARANHÃO
2024/07;Fogo em áreas de vegetação nativa;238;MATO GROSSO
2024/07;Fogo em áreas de vegetação nativa;294;PARÁ
2024/07;Fogo em áreas de vegetação nativa;174;RONDÔNIA
2024/07;Fogo em áreas de vegetação nativa;1;RORAIMA
2024/08;Fogo em áreas de desmatamento consolidado;495;ACRE
2024/08;Fogo em áreas de desmatamento consolidado;4;AMAPÁ
2024/08;Fogo em áreas de desmatamento consolidado;2309;AMAZONAS
2024/08;Fogo em áreas de desmatamento consolidado;299;MARANHÃO
2024/08;Fogo em áreas de desmatamento consolidado;2428;MATO GROSSO
2024/08;Fogo em áreas de desmatamento consolidado;5278;PARÁ
2024/08;Fogo em áreas de desmatamento consolidado;1012;RONDÔNIA
2024/08;Fogo em áreas de desmatamento consolidado;19;RORAIMA
2024/08;Fogo em áreas de desmatamento consolidado;135;TOCANTINS
2024/08;Fogo em áreas de desmatamento recente;1081;ACRE
2024/08;Fogo em áreas de desmatamento recente;6142;AMAZONAS
2024/08;Fogo em áreas de desmatamento recente;49;MARANHÃO
2024/08;Fogo em áreas de desmatamento recente;2760;MATO GROSSO
2024/08;Fogo em áreas de desmatamento recente;5241;PARÁ
2024/08;Fogo em áreas de desmatamento recente;2514;RONDÔNIA
2024/08;Fogo em áreas de desmatamento recente;12;RORAIMA
2024/08;Fogo em áreas de desmatamento recente;14;TOCANTINS
2024/08;Fogo em outras áreas;13;AMAZONAS
2024/08;Fogo em outras áreas;1;MATO GROSSO
2024/08;Fogo em outras áreas;2;PARÁ
2024/08;Fogo em outras áreas;3;RONDÔNIA
2024/08;Fogo em áreas de vegetação nativa;421;ACRE
2024/08;Fogo em áreas de vegetação nativa;8;AMAPÁ
2024/08;Fogo em áreas de vegetação nativa;1864;AMAZONAS
2024/08;Fogo em áreas de vegetação nativa;19;MARANHÃO
2024/08;Fogo em áreas de vegetação nativa;1842;MATO GROSSO
2024/08;Fogo em áreas de vegetação nativa;3156;PARÁ
2024/08;Fogo em áreas de vegetação nativa;949;RONDÔNIA
2024/08;Fogo em áreas de vegetação nativa;10;RORAIMA
2024/08;Fogo em áreas de vegetação nativa;5;TOCANTINS
2024/09;Fogo em áreas de desmatamento consolidado;870;ACRE
2024/09;Fogo em áreas de desmatamento consolidado;52;AMAPÁ
2024/09;Fogo em áreas de desmatamento consolidado;1800;AMAZONAS
2024/09;Fogo em áreas de desmatamento consolidado;434;MARANHÃO
2024/09;Fogo em áreas de desmatamento consolidado;3766;MATO GROSSO
2024/09;Fogo em áreas de desmatamento consolidado;6622;PARÁ
2024/09;Fogo em áreas de desmatamento consolidado;622;RONDÔNIA
2024/09;Fogo em áreas de desmatamento consolidado;19;RORAIMA
2024/09;Fogo em áreas de desmatamento consolidado;304;TOCANTINS
2024/09;Fogo em áreas de desmatamento recente;2345;ACRE
2024/09;Fogo em áreas de desmatamento recente;5;AMAPÁ
2024/09;Fogo em áreas de desmatamento recente;3660;AMAZONAS
2024/09;Fogo em áreas de desmatamento recente;57;MARANHÃO
2024/09;Fogo em áreas de desmatamento recente;2480;MATO GROSSO
2024/09;Fogo em áreas de desmatamento recente;5044;PARÁ
2024/09;Fogo em áreas de desmatamento recente;1159;RONDÔNIA
2024/09;Fogo em áreas de desmatamento recente;33;RORAIMA
2024/09;Fogo em áreas de desmatamento recente;33;TOCANTINS
2024/09;Fogo em outras áreas;34;AMAZONAS
2024/09;Fogo em outras áreas;2;MARANHÃO
2024/09;Fogo em outras áreas;8;MATO GROSSO
2024/09;Fogo em outras áreas;5;PARÁ
2024/09;Fogo em áreas de vegetação nativa;640;ACRE
2024/09;Fogo em áreas de vegetação nativa;95;AMAPÁ
2024/09;Fogo em áreas de vegetação nativa;1384;AMAZONAS
2024/09;Fogo em áreas de vegetação nativa;21;MARANHÃO
2024/09;Fogo em áreas de vegetação nativa;3492;MATO GROSSO
2024/09;Fogo em áreas de vegetação nativa;5408;PARÁ
2024/09;Fogo em áreas de vegetação nativa;924;RONDÔNIA
2024/09;Fogo em áreas de vegetação nativa;28;RORAIMA
2024/09;Fogo em áreas de vegetação nativa;28;TOCANTINS
2024/10;Fogo em áreas de desmatamento consolidado;458;ACRE
2024/10;Fogo em áreas de desmatamento consolidado;163;AMAPÁ
2024/10;Fogo em áreas de desmatamento consolidado;813;AMAZONAS
2024/10;Fogo em áreas de desmatamento consolidado;1017;MARANHÃO
2024/10;Fogo em áreas de desmatamento consolidado;676;MATO GROSSO
2024/10;Fogo em áreas de desmatamento consolidado;3327;PARÁ
2024/10;Fogo em áreas de desmatamento consolidado;311;RONDÔNIA
2024/10;Fogo em áreas de desmatamento consolidado;27;RORAIMA
2024/10;Fogo em áreas de desmatamento consolidado;65;TOCANTINS
2024/10;Fogo em áreas de desmatamento recente;1105;ACRE
2024/10;Fogo em áreas de desmatamento recente;31;AMAPÁ
2024/10;Fogo em áreas de desmatamento recente;914;AMAZONAS
2024/10;Fogo em áreas de desmatamento recente;150;MARANHÃO
2024/10;Fogo em áreas de desmatamento recente;335;MATO GROSSO
2024/10;Fogo em áreas de desmatamento recente;2616;PARÁ
2024/10;Fogo em áreas de desmatamento recente;276;RONDÔNIA
2024/10;Fogo em áreas de desmatamento recente;29;RORAIMA
2024/10;Fogo em áreas de desmatamento recente;9;TOCANTINS
2024/10;Fogo em outras áreas;22;AMAZONAS
2024/10;Fogo em outras áreas;2;MARANHÃO
2024/10;Fogo em outras áreas;1;MATO GROSSO
2024/10;Fogo em outras áreas;9;PARÁ
2024/10;Fogo em outras áreas;1;RONDÔNIA
2024/10;Fogo em áreas de vegetação nativa;313;ACRE
2024/10;Fogo em áreas de vegetação nativa;347;AMAPÁ
2024/10;Fogo em áreas de vegetação nativa;808;AMAZONAS
2024/10;Fogo em áreas de vegetação nativa;81;MARANHÃO
2024/10;Fogo em áreas de vegetação nativa;468;MATO GROSSO
2024/10;Fogo em áreas de vegetação nativa;1081;PARÁ
2024/10;Fogo em áreas de vegetação nativa;604;RONDÔNIA
2024/10;Fogo em áreas de vegetação nativa;66;RORAIMA
2024/10;Fogo em áreas de vegetação nativa;1;TOCANTINS
2024/11;Fogo em áreas de desmatamento consolidado;40;ACRE
2024/11;Fogo em áreas de desmatamento consolidado;307;AMAPÁ
2024/11;Fogo em áreas de desmatamento consolidado;287;AMAZONAS
2024/11;Fogo em áreas de desmatamento consolidado;1611;MARANHÃO
2024/11;Fogo em áreas de desmatamento consolidado;118;MATO GROSSO
2024/11;Fogo em áreas de desmatamento consolidado;4274;PARÁ
2024/11;Fogo em áreas de desmatamento consolidado;35;RONDÔNIA
2024/11;Fogo em áreas de desmatamento consolidado;42;RORAIMA
2024/11;Fogo em áreas de desmatamento consolidado;64;TOCANTINS
2024/11;Fogo em áreas de desmatamento recente;110;ACRE
2024/11;Fogo em áreas de desmatamento recente;57;AMAPÁ
2024/11;Fogo em áreas de desmatamento recente;216;AMAZONAS
2024/11;Fogo em áreas de desmatamento recente;229;MARANHÃO
2024/11;Fogo em áreas de desmatamento recente;71;MATO GROSSO
2024/11;Fogo em áreas de desmatamento recente;3527;PARÁ
2024/11;Fogo em áreas de desmatamento recente;61;RONDÔNIA
2024/11;Fogo em áreas de desmatamento recente;62;RORAIMA
2024/11;Fogo em áreas de desmatamento recente;8;TOCANTINS
2024/11;Fogo em outras áreas;1;AMAPÁ
2024/11;Fogo em outras áreas;12;AMAZONAS
2024/11;Fogo em outras áreas;2;MARANHÃO
2024/11;Fogo em outras áreas;11;PARÁ
2024/11;Fogo em outras áreas;1;RORAIMA
2024/11;Fogo em áreas de vegetação nativa;10;ACRE
2024/11;Fogo em áreas de vegetação nativa;835;AMAPÁ
2024/11;Fogo em áreas de vegetação nativa;140;AMAZONAS
2024/11;Fogo em áreas de vegetação nativa;122;MARANHÃO
2024/11;Fogo em áreas de vegetação nativa;12;MATO GROSSO
2024/11;Fogo em áreas de vegetação nativa;1732;PARÁ
2024/11;Fogo em áreas de vegetação nativa;10;RONDÔNIA
2024/11;Fogo em áreas de vegetação nativa;99;RORAIMA
2024/12;Fogo em áreas de desmatamento consolidado;8;ACRE
2024/12;Fogo em áreas de desmatamento consolidado;19;AMAPÁ
2024/12;Fogo em áreas de desmatamento consolidado;74;AMAZONAS
2024/12;Fogo em áreas de desmatamento consolidado;1222;MARANHÃO
2024/12;Fogo em áreas de desmatamento consolidado;150;MATO GROSSO
2024/12;Fogo em áreas de desmatamento consolidado;1683;PARÁ
2024/12;Fogo em áreas de desmatamento consolidado;18;RONDÔNIA
2024/12;Fogo em áreas de desmatamento consolidado;63;RORAIMA
2024/12;Fogo em áreas de desmatamento consolidado;14;TOCANTINS
2024/12;Fogo em áreas de desmatamento recente;21;ACRE
2024/12;Fogo em áreas de desmatamento recente;8;AMAPÁ
2024/12;Fogo em áreas de desmatamento recente;70;AMAZONAS
2024/12;Fogo em áreas de desmatamento recente;146;MARANHÃO
2024/12;Fogo em áreas de desmatamento recente;140;MATO GROSSO
2024/12;Fogo em áreas de desmatamento recente;1008;PARÁ
2024/12;Fogo em áreas de desmatamento recente;20;RONDÔNIA
2024/12;Fogo em áreas de desmatamento recente;66;RORAIMA
2024/12;Fogo em áreas de desmatamento recente;1;TOCANTINS
2024/12;Fogo em outras áreas;2;AMAZONAS
2024/12;Fogo em outras áreas;1;PARÁ
2024/12;Fogo em áreas de vegetação nativa;1;ACRE
2024/12;Fogo em áreas de vegetação nativa;74;AMAPÁ
2024/12;Fogo em áreas de vegetação nativa;26;AMAZONAS
2024/12;Fogo em áreas de vegetação nativa;62;MARANHÃO
2024/12;Fogo em áreas de vegetação nativa;11;MATO GROSSO
2024/12;Fogo em áreas de vegetação nativa;293;PARÁ
2024/12;Fogo em áreas de vegetação nativa;149;RORAIMA
2023/01;Fogo em áreas de desmatamento consolidado;3;ACRE
2023/01;Fogo em áreas de desmatamento consolidado;5;AMAPÁ
2023/01;Fogo em áreas de desmatamento consolidado;28;AMAZONAS
2023/01;Fogo em áreas de desmatamento consolidado;85;MARANHÃO
2023/01;Fogo em áreas de desmatamento consolidado;133;MATO GROSSO
2023/01;Fogo em áreas de desmatamento consolidado;225;PARÁ
2023/01;Fogo em áreas de desmatamento consolidado;16;RONDÔNIA
2023/01;Fogo em áreas de desmatamento consolidado;110;RORAIMA
2023/01;Fogo em áreas de desmatamento consolidado;4;TOCANTINS
2023/01;Fogo em áreas de desmatamento recente;3;ACRE
2023/01;Fogo em áreas de desmatamento recente;1;AMAPÁ
2023/01;Fogo em áreas de desmatamento recente;27;AMAZONAS
2023/01;Fogo em áreas de desmatamento recente;11;MARANHÃO
2023/01;Fogo em áreas de desmatamento recente;41;MATO GROSSO
2023/01;Fogo em áreas de desmatamento recente;93;PARÁ
2023/01;Fogo em áreas de desmatamento recente;22;RONDÔNIA
2023/01;Fogo em áreas de desmatamento recente;110;RORAIMA
2023/01;Fogo em áreas de desmatamento recente;1;TOCANTINS
2023/01;Fogo em outras áreas;1;AMAZONAS
2023/01;Fogo em áreas de vegetação nativa;2;ACRE
2023/01;Fogo em áreas de vegetação nativa;2;AMAPÁ
2023/01;Fogo em áreas de vegetação nativa;11;AMAZONAS
2023/01;Fogo em áreas de vegetação nativa;7;MARANHÃO
2023/01;Fogo em áreas de vegetação nativa;4;MATO GROSSO
2023/01;Fogo em áreas de vegetação nativa;7;PARÁ
2023/01;Fogo em áreas de vegetação nativa;104;RORAIMA
2023/01;Fogo em áreas de vegetação nativa;1;TOCANTINS
2023/02;Fogo em áreas de desmatamento consolidado;1;ACRE
2023/02;Fogo em áreas de desmatamento consolidado;9;AMAZONAS
2023/02;Fogo em áreas de desmatamento consolidado;6;MARANHÃO
2023/02;Fogo em áreas de desmatamento consolidado;360;MATO GROSSO
2023/02;Fogo em áreas de desmatamento consolidado;69;PARÁ
2023/02;Fogo em áreas de desmatamento consolidado;18;RONDÔNIA
2023/02;Fogo em áreas de desmatamento consolidado;41;RORAIMA
2023/02;Fogo em áreas de desmatamento consolidado;7;TOCANTINS
2023/02;Fogo em áreas de desmatamento recente;16;AMAZONAS
2023/02;Fogo em áreas de desmatamento recente;2;MARANHÃO
2023/02;Fogo em áreas de desmatamento recente;52;MATO GROSSO
2023/02;Fogo em áreas de desmatamento recente;16;PARÁ
2023/02;Fogo em áreas de desmatamento recente;6;RONDÔNIA
2023/02;Fogo em áreas de desmatamento recente;42;RORAIMA
2023/02;Fogo em outras áreas;1;AMAZONAS
2023/02;Fogo em áreas de vegetação nativa;5;AMAZONAS
2023/02;Fogo em áreas de vegetação nativa;5;MATO GROSSO
2023/02;Fogo em áreas de vegetação nativa;8;PARÁ
2023/02;Fogo em áreas de vegetação nativa;85;RORAIMA
2023/02;Fogo em áreas de vegetação nativa;1;TOCANTINS
2023/03;Fogo em áreas de desmatamento consolidado;19;AMAZONAS
2023/03;Fogo em áreas de desmatamento consolidado;8;MARANHÃO
2023/03;Fogo em áreas de desmatamento consolidado;344;MATO GROSSO
2023/03;Fogo em áreas de desmatamento consolidado;68;PARÁ
2023/03;Fogo em áreas de desmatamento consolidado;28;RONDÔNIA
2023/03;Fogo em áreas de desmatamento consolidado;168;RORAIMA
2023/03;Fogo em áreas de desmatamento consolidado;2;TOCANTINS
